




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	H3K27me3_K562.intersect_with_G4_seq_Li_KPDS.genes_uniq.txt (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	H3K27me3_K562.intersect_with_G4_seq_Li_KPDS.genes_uniq.txt (3272)	H3K27me3_K562.intersect_with_G4_seq_Li_KPDS.genes_uniq.txt (expected)	H3K27me3_K562.intersect_with_G4_seq_Li_KPDS.genes_uniq.txt (over/under)	H3K27me3_K562.intersect_with_G4_seq_Li_KPDS.genes_uniq.txt (fold Enrichment)	H3K27me3_K562.intersect_with_G4_seq_Li_KPDS.genes_uniq.txt (raw P-value)	H3K27me3_K562.intersect_with_G4_seq_Li_KPDS.genes_uniq.txt (FDR)
mesenchymal to epithelial transition (GO:0060231)	16	10	2.54	+	3.93	1.50E-03	2.60E-02
vascular associated smooth muscle contraction (GO:0014829)	16	10	2.54	+	3.93	1.50E-03	2.60E-02
adenylate cyclase-activating adrenergic receptor signaling pathway (GO:0071880)	21	13	3.34	+	3.90	3.26E-04	7.01E-03
cell differentiation involved in metanephros development (GO:0072202)	18	11	2.86	+	3.85	1.01E-03	1.86E-02
neurotransmitter biosynthetic process (GO:0042136)	18	11	2.86	+	3.85	1.01E-03	1.86E-02
neuron fate specification (GO:0048665)	28	17	4.45	+	3.82	4.90E-05	1.33E-03
epithelial cell fate commitment (GO:0072148)	15	9	2.38	+	3.78	3.16E-03	4.62E-02
stress response to metal ion (GO:0097501)	20	12	3.18	+	3.78	6.76E-04	1.33E-02
positive regulation of potassium ion transmembrane transporter activity (GO:1901018)	27	16	4.29	+	3.73	1.00E-04	2.51E-03
neurotransmitter reuptake (GO:0098810)	22	13	3.50	+	3.72	4.54E-04	9.43E-03
spinal cord dorsal/ventral patterning (GO:0021513)	17	10	2.70	+	3.70	2.10E-03	3.40E-02
ureter development (GO:0072189)	17	10	2.70	+	3.70	2.10E-03	3.40E-02
membrane depolarization during cardiac muscle cell action potential (GO:0086012)	17	10	2.70	+	3.70	2.10E-03	3.39E-02
regulation of AMPA receptor activity (GO:2000311)	26	15	4.13	+	3.63	2.05E-04	4.76E-03
metanephric nephron morphogenesis (GO:0072273)	21	12	3.34	+	3.60	9.31E-04	1.74E-02
regulation of endothelial cell chemotaxis (GO:2001026)	21	12	3.34	+	3.60	9.31E-04	1.74E-02
cell differentiation in spinal cord (GO:0021515)	49	28	7.78	+	3.60	5.04E-07	2.24E-05
cranial nerve morphogenesis (GO:0021602)	30	17	4.77	+	3.57	9.27E-05	2.35E-03
metanephric nephron development (GO:0072210)	32	18	5.08	+	3.54	6.25E-05	1.65E-03
detection of temperature stimulus (GO:0016048)	27	15	4.29	+	3.50	2.79E-04	6.10E-03
metanephros morphogenesis (GO:0003338)	27	15	4.29	+	3.50	2.79E-04	6.09E-03
spinal cord patterning (GO:0021511)	18	10	2.86	+	3.50	2.87E-03	4.32E-02
epithelial cell-cell adhesion (GO:0090136)	18	10	2.86	+	3.50	2.87E-03	4.32E-02
parasympathetic nervous system development (GO:0048486)	18	10	2.86	+	3.50	2.87E-03	4.32E-02
cellular response to copper ion (GO:0071280)	29	16	4.61	+	3.47	1.87E-04	4.37E-03
kidney vasculature development (GO:0061440)	20	11	3.18	+	3.46	1.90E-03	3.13E-02
renal system vasculature development (GO:0061437)	20	11	3.18	+	3.46	1.90E-03	3.13E-02
cell communication by electrical coupling (GO:0010644)	20	11	3.18	+	3.46	1.90E-03	3.13E-02
vasoconstriction (GO:0042310)	31	17	4.93	+	3.45	1.25E-04	3.06E-03
transmission of nerve impulse (GO:0019226)	53	29	8.42	+	3.44	6.24E-07	2.70E-05
cartilage condensation (GO:0001502)	22	12	3.50	+	3.43	1.26E-03	2.26E-02
detection of temperature stimulus involved in sensory perception (GO:0050961)	22	12	3.50	+	3.43	1.26E-03	2.25E-02
cell fate specification (GO:0001708)	81	44	12.87	+	3.42	1.04E-09	8.15E-08
adrenergic receptor signaling pathway (GO:0071875)	24	13	3.81	+	3.41	8.40E-04	1.60E-02
neurotransmitter receptor transport (GO:0099637)	26	14	4.13	+	3.39	5.60E-04	1.13E-02
mesodermal cell differentiation (GO:0048333)	26	14	4.13	+	3.39	5.60E-04	1.12E-02
sensory perception of temperature stimulus (GO:0050951)	28	15	4.45	+	3.37	3.74E-04	7.90E-03
cell fate determination (GO:0001709)	43	23	6.83	+	3.37	1.17E-05	3.68E-04
neurotransmitter uptake (GO:0001504)	30	16	4.77	+	3.36	2.50E-04	5.59E-03
epithelial cell differentiation involved in kidney development (GO:0035850)	34	18	5.40	+	3.33	1.12E-04	2.79E-03
axonal fasciculation (GO:0007413)	21	11	3.34	+	3.30	2.54E-03	3.90E-02
neuron projection fasciculation (GO:0106030)	21	11	3.34	+	3.30	2.54E-03	3.89E-02
ventral spinal cord development (GO:0021517)	44	23	6.99	+	3.29	1.55E-05	4.74E-04
vascular endothelial growth factor signaling pathway (GO:0038084)	23	12	3.65	+	3.28	1.68E-03	2.84E-02
cell aggregation (GO:0098743)	23	12	3.65	+	3.28	1.68E-03	2.83E-02
cellular response to zinc ion (GO:0071294)	25	13	3.97	+	3.27	1.12E-03	2.03E-02
glomerulus development (GO:0032835)	52	27	8.26	+	3.27	3.21E-06	1.17E-04
positive regulation of vasoconstriction (GO:0045907)	33	17	5.24	+	3.24	2.22E-04	5.05E-03
activation of adenylate cyclase activity (GO:0007190)	41	21	6.51	+	3.22	4.50E-05	1.24E-03
positive regulation of neural precursor cell proliferation (GO:2000179)	55	28	8.74	+	3.20	2.84E-06	1.05E-04
positive regulation of potassium ion transport (GO:0043268)	69	35	10.96	+	3.19	1.84E-07	9.46E-06
lymph vessel development (GO:0001945)	24	12	3.81	+	3.15	2.21E-03	3.51E-02
positive regulation of potassium ion transmembrane transport (GO:1901381)	62	31	9.85	+	3.15	1.14E-06	4.59E-05
neuron fate commitment (GO:0048663)	62	31	9.85	+	3.15	1.14E-06	4.58E-05
regulation of appetite (GO:0032098)	22	11	3.50	+	3.15	3.34E-03	4.84E-02
regulation of the force of heart contraction (GO:0002026)	26	13	4.13	+	3.15	1.47E-03	2.55E-02
cranial nerve development (GO:0021545)	51	25	8.10	+	3.09	1.57E-05	4.80E-04
smooth muscle contraction (GO:0006939)	49	24	7.78	+	3.08	2.33E-05	6.86E-04
cell differentiation involved in kidney development (GO:0061005)	45	22	7.15	+	3.08	5.14E-05	1.39E-03
branching involved in ureteric bud morphogenesis (GO:0001658)	43	21	6.83	+	3.07	7.64E-05	1.96E-03
nephron morphogenesis (GO:0072028)	66	32	10.49	+	3.05	1.81E-06	7.03E-05
nephron epithelium morphogenesis (GO:0072088)	64	31	10.17	+	3.05	2.72E-06	1.01E-04
spinal cord motor neuron differentiation (GO:0021522)	29	14	4.61	+	3.04	1.27E-03	2.26E-02
cardiac atrium morphogenesis (GO:0003209)	29	14	4.61	+	3.04	1.27E-03	2.26E-02
detection of stimulus involved in sensory perception of pain (GO:0062149)	27	13	4.29	+	3.03	1.91E-03	3.13E-02
ionotropic glutamate receptor signaling pathway (GO:0035235)	27	13	4.29	+	3.03	1.91E-03	3.13E-02
protein localization to postsynaptic membrane (GO:1903539)	27	13	4.29	+	3.03	1.91E-03	3.13E-02
mesonephric tubule morphogenesis (GO:0072171)	52	25	8.26	+	3.03	3.17E-05	9.00E-04
membrane depolarization (GO:0051899)	52	25	8.26	+	3.03	3.17E-05	8.99E-04
response to dietary excess (GO:0002021)	25	12	3.97	+	3.02	2.87E-03	4.32E-02
nephron development (GO:0072006)	126	60	20.02	+	3.00	9.99E-11	9.40E-09
endocrine pancreas development (GO:0031018)	40	19	6.35	+	2.99	2.18E-04	4.97E-03
nerve development (GO:0021675)	76	36	12.07	+	2.98	5.12E-07	2.27E-05
dorsal/ventral pattern formation (GO:0009953)	76	36	12.07	+	2.98	5.12E-07	2.26E-05
cardiac conduction system development (GO:0003161)	38	18	6.04	+	2.98	3.25E-04	7.00E-03
ureteric bud morphogenesis (GO:0060675)	51	24	8.10	+	2.96	5.39E-05	1.44E-03
spinal cord development (GO:0021510)	100	47	15.89	+	2.96	1.05E-08	6.66E-07
renal tubule morphogenesis (GO:0061333)	66	31	10.49	+	2.96	3.74E-06	1.33E-04
nephron epithelium development (GO:0072009)	98	46	15.57	+	2.95	1.55E-08	9.56E-07
multicellular organismal signaling (GO:0035637)	128	60	20.34	+	2.95	1.33E-10	1.21E-08
potassium ion homeostasis (GO:0055075)	32	15	5.08	+	2.95	1.09E-03	1.98E-02
nephron tubule morphogenesis (GO:0072078)	62	29	9.85	+	2.94	8.33E-06	2.74E-04
membrane depolarization during action potential (GO:0086010)	30	14	4.77	+	2.94	1.63E-03	2.76E-02
collagen fibril organization (GO:0030199)	103	48	16.36	+	2.93	1.38E-08	8.54E-07
neuronal action potential (GO:0019228)	28	13	4.45	+	2.92	2.45E-03	3.78E-02
regulation of astrocyte differentiation (GO:0048710)	28	13	4.45	+	2.92	2.45E-03	3.77E-02
protein localization to postsynapse (GO:0062237)	28	13	4.45	+	2.92	2.45E-03	3.77E-02
regulation of vasoconstriction (GO:0019229)	63	29	10.01	+	2.90	9.99E-06	3.21E-04
peptide secretion (GO:0002790)	59	27	9.37	+	2.88	2.21E-05	6.58E-04
embryonic eye morphogenesis (GO:0048048)	35	16	5.56	+	2.88	1.46E-03	2.55E-02
cardiac ventricle morphogenesis (GO:0003208)	70	32	11.12	+	2.88	3.72E-06	1.32E-04
peptide hormone secretion (GO:0030072)	57	26	9.06	+	2.87	3.30E-05	9.31E-04
diencephalon development (GO:0021536)	79	36	12.55	+	2.87	9.59E-07	3.94E-05
metanephros development (GO:0001656)	79	36	12.55	+	2.87	9.59E-07	3.93E-05
proximal/distal pattern formation (GO:0009954)	33	15	5.24	+	2.86	2.22E-03	3.52E-02
dopamine metabolic process (GO:0042417)	31	14	4.93	+	2.84	3.37E-03	4.87E-02
autonomic nervous system development (GO:0048483)	47	21	7.47	+	2.81	2.45E-04	5.50E-03
kidney morphogenesis (GO:0060993)	83	37	13.19	+	2.81	1.38E-06	5.50E-05
regulation of vascular permeability (GO:0043114)	45	20	7.15	+	2.80	3.67E-04	7.77E-03
renal tubule development (GO:0061326)	81	36	12.87	+	2.80	2.06E-06	7.91E-05
regulation of dopamine secretion (GO:0014059)	36	16	5.72	+	2.80	1.63E-03	2.76E-02
detection of mechanical stimulus involved in sensory perception (GO:0050974)	36	16	5.72	+	2.80	1.63E-03	2.76E-02
cardiac atrium development (GO:0003230)	36	16	5.72	+	2.80	1.63E-03	2.75E-02
negative regulation of neuron differentiation (GO:0045665)	70	31	11.12	+	2.79	8.35E-06	2.73E-04
adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway (GO:0007193)	86	38	13.66	+	2.78	1.07E-06	4.30E-05
potassium ion import across plasma membrane (GO:1990573)	43	19	6.83	+	2.78	5.50E-04	1.11E-02
cell communication involved in cardiac conduction (GO:0086065)	43	19	6.83	+	2.78	5.50E-04	1.11E-02
response to copper ion (GO:0046688)	43	19	6.83	+	2.78	5.50E-04	1.11E-02
nephron tubule development (GO:0072080)	77	34	12.23	+	2.78	4.54E-06	1.59E-04
amino acid import (GO:0043090)	41	18	6.51	+	2.76	8.25E-04	1.58E-02
cyclic nucleotide metabolic process (GO:0009187)	41	18	6.51	+	2.76	8.25E-04	1.58E-02
glutamate receptor signaling pathway (GO:0007215)	48	21	7.63	+	2.75	2.90E-04	6.34E-03
ureteric bud development (GO:0001657)	80	35	12.71	+	2.75	3.47E-06	1.24E-04
regulation of heart rate by cardiac conduction (GO:0086091)	39	17	6.20	+	2.74	1.24E-03	2.22E-02
mesonephros development (GO:0001823)	85	37	13.50	+	2.74	1.84E-06	7.13E-05
cardiac conduction (GO:0061337)	85	37	13.50	+	2.74	1.84E-06	7.11E-05
cellular response to retinoic acid (GO:0071300)	69	30	10.96	+	2.74	2.22E-05	6.58E-04
positive regulation of cation channel activity (GO:2001259)	76	33	12.07	+	2.73	7.62E-06	2.54E-04
cell fate commitment (GO:0045165)	238	103	37.81	+	2.72	2.08E-15	4.16E-13
mesonephric tubule development (GO:0072164)	81	35	12.87	+	2.72	4.02E-06	1.42E-04
mesonephric epithelium development (GO:0072163)	81	35	12.87	+	2.72	4.02E-06	1.41E-04
pituitary gland development (GO:0021983)	44	19	6.99	+	2.72	6.47E-04	1.28E-02
neuropeptide signaling pathway (GO:0007218)	109	47	17.32	+	2.71	1.11E-07	5.99E-06
regulation of cardiac conduction (GO:1903779)	58	25	9.21	+	2.71	8.70E-05	2.22E-03
cellular zinc ion homeostasis (GO:0006882)	35	15	5.56	+	2.70	2.80E-03	4.26E-02
neuron migration (GO:0001764)	117	50	18.59	+	2.69	4.60E-08	2.63E-06
positive regulation of blood pressure (GO:0045777)	40	17	6.35	+	2.68	1.44E-03	2.53E-02
fat-soluble vitamin metabolic process (GO:0006775)	40	17	6.35	+	2.68	1.44E-03	2.53E-02
regulation of potassium ion transport (GO:0043266)	120	51	19.06	+	2.68	3.70E-08	2.15E-06
positive regulation of blood circulation (GO:1903524)	40	17	6.35	+	2.68	1.44E-03	2.53E-02
regulation of potassium ion transmembrane transport (GO:1901379)	106	45	16.84	+	2.67	2.74E-07	1.33E-05
regulation of neural precursor cell proliferation (GO:2000177)	90	38	14.30	+	2.66	3.38E-06	1.21E-04
regulation of actin filament-based movement (GO:1903115)	38	16	6.04	+	2.65	2.16E-03	3.46E-02
positive regulation of amine transport (GO:0051954)	38	16	6.04	+	2.65	2.16E-03	3.45E-02
zinc ion homeostasis (GO:0055069)	38	16	6.04	+	2.65	2.16E-03	3.45E-02
forelimb morphogenesis (GO:0035136)	38	16	6.04	+	2.65	2.16E-03	3.45E-02
positive regulation of heart contraction (GO:0045823)	38	16	6.04	+	2.65	2.16E-03	3.44E-02
kidney epithelium development (GO:0072073)	126	53	20.02	+	2.65	3.68E-08	2.15E-06
regulation of synaptic transmission, glutamatergic (GO:0051966)	69	29	10.96	+	2.65	4.19E-05	1.16E-03
pancreas development (GO:0031016)	69	29	10.96	+	2.65	4.19E-05	1.16E-03
regulation of tube size (GO:0035150)	131	55	20.81	+	2.64	1.88E-08	1.14E-06
regulation of potassium ion transmembrane transporter activity (GO:1901016)	62	26	9.85	+	2.64	1.20E-04	2.95E-03
adenylate cyclase-activating G protein-coupled receptor signaling pathway (GO:0007189)	134	56	21.29	+	2.63	1.45E-08	8.95E-07
cornification (GO:0070268)	113	47	17.95	+	2.62	2.03E-07	1.04E-05
blood vessel diameter maintenance (GO:0097746)	130	54	20.65	+	2.61	3.12E-08	1.85E-06
regulation of tube diameter (GO:0035296)	130	54	20.65	+	2.61	3.12E-08	1.84E-06
excretion (GO:0007588)	41	17	6.51	+	2.61	1.70E-03	2.86E-02
regulation of systemic arterial blood pressure mediated by a chemical signal (GO:0003044)	46	19	7.31	+	2.60	9.19E-04	1.72E-02
ventricular cardiac muscle tissue morphogenesis (GO:0055010)	46	19	7.31	+	2.60	9.19E-04	1.72E-02
response to nicotine (GO:0035094)	46	19	7.31	+	2.60	9.19E-04	1.72E-02
forebrain neuron differentiation (GO:0021879)	51	21	8.10	+	2.59	7.81E-04	1.51E-02
potassium ion transmembrane transport (GO:0071805)	158	65	25.10	+	2.59	1.64E-09	1.24E-07
hormone secretion (GO:0046879)	73	30	11.60	+	2.59	3.86E-05	1.08E-03
positive regulation of glial cell differentiation (GO:0045687)	42	17	6.67	+	2.55	2.02E-03	3.29E-02
regulation of neuron differentiation (GO:0045664)	193	78	30.66	+	2.54	9.59E-11	9.07E-09
cardiac muscle cell development (GO:0055013)	57	23	9.06	+	2.54	4.35E-04	9.07E-03
forebrain generation of neurons (GO:0021872)	62	25	9.85	+	2.54	2.28E-04	5.16E-03
regulation of amine transport (GO:0051952)	92	37	14.62	+	2.53	7.79E-06	2.58E-04
neurotransmitter transport (GO:0006836)	142	57	22.56	+	2.53	3.36E-08	1.98E-06
potassium ion transport (GO:0006813)	167	67	26.53	+	2.53	2.25E-09	1.68E-07
adenylate cyclase-modulating G protein-coupled receptor signaling pathway (GO:0007188)	222	89	35.27	+	2.52	5.36E-12	6.46E-10
regulation of systemic arterial blood pressure (GO:0003073)	100	40	15.89	+	2.52	5.29E-06	1.83E-04
positive regulation of epithelial cell differentiation (GO:0030858)	55	22	8.74	+	2.52	6.42E-04	1.27E-02
ear morphogenesis (GO:0042471)	120	48	19.06	+	2.52	4.01E-07	1.84E-05
response to retinoic acid (GO:0032526)	111	44	17.63	+	2.50	1.57E-06	6.14E-05
catecholamine metabolic process (GO:0006584)	48	19	7.63	+	2.49	1.86E-03	3.08E-02
catechol-containing compound metabolic process (GO:0009712)	48	19	7.63	+	2.49	1.86E-03	3.08E-02
endocrine system development (GO:0035270)	124	49	19.70	+	2.49	5.57E-07	2.43E-05
peptide transport (GO:0015833)	81	32	12.87	+	2.49	4.55E-05	1.25E-03
cardiac chamber morphogenesis (GO:0003206)	119	47	18.91	+	2.49	6.80E-07	2.90E-05
inner ear development (GO:0048839)	195	77	30.98	+	2.49	2.19E-10	1.88E-08
regulation of catecholamine secretion (GO:0050433)	56	22	8.90	+	2.47	7.27E-04	1.42E-02
regulation of glial cell differentiation (GO:0045685)	74	29	11.76	+	2.47	1.28E-04	3.10E-03
positive regulation of ion transmembrane transporter activity (GO:0032414)	110	43	17.48	+	2.46	2.62E-06	9.71E-05
ear development (GO:0043583)	220	86	34.95	+	2.46	4.26E-11	4.58E-09
embryonic skeletal system development (GO:0048706)	123	48	19.54	+	2.46	8.79E-07	3.64E-05
phospholipase C-activating G protein-coupled receptor signaling pathway (GO:0007200)	100	39	15.89	+	2.45	9.14E-06	2.97E-04
cardiac muscle tissue morphogenesis (GO:0055008)	59	23	9.37	+	2.45	5.69E-04	1.14E-02
sensory perception of mechanical stimulus (GO:0050954)	177	69	28.12	+	2.45	3.32E-09	2.38E-07
regulation of neurotransmitter receptor activity (GO:0099601)	80	31	12.71	+	2.44	7.54E-05	1.94E-03
cardiac cell development (GO:0055006)	62	24	9.85	+	2.44	4.52E-04	9.39E-03
sensory perception of pain (GO:0019233)	75	29	11.92	+	2.43	1.42E-04	3.43E-03
cochlea development (GO:0090102)	52	20	8.26	+	2.42	1.57E-03	2.68E-02
ventricular cardiac muscle tissue development (GO:0003229)	55	21	8.74	+	2.40	1.22E-03	2.20E-02
positive regulation of transporter activity (GO:0032411)	121	46	19.22	+	2.39	2.28E-06	8.65E-05
renal system process (GO:0003014)	116	44	18.43	+	2.39	4.26E-06	1.49E-04
extracellular matrix organization (GO:0030198)	383	145	60.85	+	2.38	5.89E-17	1.58E-14
regulation of blood circulation (GO:1903522)	278	105	44.17	+	2.38	1.15E-12	1.58E-10
extracellular structure organization (GO:0043062)	384	145	61.01	+	2.38	6.27E-17	1.63E-14
negative regulation of hemostasis (GO:1900047)	53	20	8.42	+	2.38	1.79E-03	2.98E-02
central nervous system neuron differentiation (GO:0021953)	183	69	29.07	+	2.37	9.68E-09	6.27E-07
embryonic organ morphogenesis (GO:0048562)	295	111	46.87	+	2.37	3.27E-13	5.11E-11
inner ear morphogenesis (GO:0042472)	101	38	16.05	+	2.37	1.92E-05	5.80E-04
external encapsulating structure organization (GO:0045229)	386	145	61.33	+	2.36	7.55E-17	1.92E-14
regulation of epithelial cell differentiation (GO:0030856)	147	55	23.35	+	2.36	4.72E-07	2.12E-05
detection of abiotic stimulus (GO:0009582)	139	52	22.08	+	2.35	7.32E-07	3.09E-05
hormone transport (GO:0009914)	83	31	13.19	+	2.35	1.63E-04	3.88E-03
detection of external stimulus (GO:0009581)	137	51	21.77	+	2.34	1.05E-06	4.26E-05
regionalization (GO:0003002)	317	118	50.36	+	2.34	9.14E-14	1.54E-11
sensory perception of sound (GO:0007605)	156	58	24.78	+	2.34	2.08E-07	1.05E-05
retina development in camera-type eye (GO:0060041)	148	55	23.51	+	2.34	5.06E-07	2.25E-05
vascular process in circulatory system (GO:0003018)	251	93	39.88	+	2.33	6.70E-11	6.62E-09
detection of mechanical stimulus (GO:0050982)	54	20	8.58	+	2.33	2.06E-03	3.34E-02
cyclic-nucleotide-mediated signaling (GO:0019935)	54	20	8.58	+	2.33	2.06E-03	3.34E-02
regulation of heart contraction (GO:0008016)	230	85	36.54	+	2.33	4.73E-10	3.98E-08
action potential (GO:0001508)	92	34	14.62	+	2.33	7.33E-05	1.90E-03
morphogenesis of a branching epithelium (GO:0061138)	160	59	25.42	+	2.32	1.85E-07	9.51E-06
positive regulation of neuron differentiation (GO:0045666)	95	35	15.09	+	2.32	5.78E-05	1.53E-03
embryonic skeletal system morphogenesis (GO:0048704)	95	35	15.09	+	2.32	5.78E-05	1.53E-03
peripheral nervous system development (GO:0007422)	79	29	12.55	+	2.31	3.40E-04	7.30E-03
regulation of smooth muscle contraction (GO:0006940)	60	22	9.53	+	2.31	1.78E-03	2.97E-02
regulation of BMP signaling pathway (GO:0030510)	101	37	16.05	+	2.31	4.99E-05	1.35E-03
odontogenesis of dentin-containing tooth (GO:0042475)	82	30	13.03	+	2.30	2.56E-04	5.68E-03
regulation of cation channel activity (GO:2001257)	186	68	29.55	+	2.30	3.43E-08	2.01E-06
regulation of chondrocyte differentiation (GO:0032330)	52	19	8.26	+	2.30	3.00E-03	4.48E-02
somatic stem cell population maintenance (GO:0035019)	52	19	8.26	+	2.30	3.00E-03	4.48E-02
negative regulation of blood coagulation (GO:0030195)	52	19	8.26	+	2.30	3.00E-03	4.47E-02
muscle organ morphogenesis (GO:0048644)	74	27	11.76	+	2.30	6.63E-04	1.31E-02
blood circulation (GO:0008015)	390	142	61.96	+	2.29	1.33E-15	2.73E-13
regulation of heart rate (GO:0002027)	99	36	15.73	+	2.29	7.16E-05	1.86E-03
branching morphogenesis of an epithelial tube (GO:0048754)	132	48	20.97	+	2.29	3.52E-06	1.25E-04
sodium ion transmembrane transport (GO:0035725)	119	43	18.91	+	2.27	1.53E-05	4.70E-04
morphogenesis of a branching structure (GO:0001763)	169	61	26.85	+	2.27	2.16E-07	1.09E-05
sensory organ morphogenesis (GO:0090596)	261	94	41.47	+	2.27	1.44E-10	1.29E-08
myelination (GO:0042552)	106	38	16.84	+	2.26	4.72E-05	1.29E-03
muscle tissue morphogenesis (GO:0060415)	67	24	10.64	+	2.25	1.16E-03	2.11E-02
limbic system development (GO:0021761)	109	39	17.32	+	2.25	5.52E-05	1.47E-03
digestive tract development (GO:0048565)	126	45	20.02	+	2.25	1.03E-05	3.30E-04
positive regulation of cation transmembrane transport (GO:1904064)	171	61	27.17	+	2.25	3.75E-07	1.74E-05
regulation of blood pressure (GO:0008217)	188	67	29.87	+	2.24	1.07E-07	5.80E-06
calcium ion transport into cytosol (GO:0060402)	73	26	11.60	+	2.24	1.01E-03	1.86E-02
telencephalon cell migration (GO:0022029)	59	21	9.37	+	2.24	2.81E-03	4.26E-02
response to zinc ion (GO:0010043)	59	21	9.37	+	2.24	2.81E-03	4.26E-02
positive regulation of osteoblast differentiation (GO:0045669)	62	22	9.85	+	2.23	2.15E-03	3.46E-02
forebrain cell migration (GO:0021885)	62	22	9.85	+	2.23	2.15E-03	3.46E-02
anterior/posterior pattern specification (GO:0009952)	203	72	32.25	+	2.23	4.32E-08	2.49E-06
regulation of postsynaptic membrane potential (GO:0060078)	99	35	15.73	+	2.23	1.23E-04	3.03E-03
circulatory system process (GO:0003013)	481	170	76.42	+	2.22	1.65E-17	4.92E-15
sensory organ development (GO:0007423)	555	196	88.17	+	2.22	5.42E-20	2.09E-17
